Clade	Taxon	Eggshell_thickness	Egg_mass	Type_2021	Type_Norell	Type_Legendre
Lepidosaurs	Tarentola_mauritanica	41.3	0.76639416	Hard	Hard	Hard
Lepidosaurs	Agama_planiceps	42.5	0.58968	Soft	Soft	Soft
Lepidosaurs	Kinyongia_tavetana	2.5	0.35672	Soft	Soft	Soft
Lepidosaurs	Anolis_carolinensis	50	0.21168	Soft	Soft	Soft
Lepidosaurs	Lacerta_viridis	6	1.21968	Soft	Soft	Soft
Lepidosaurs	Lampropeltis_getula	12	15.79687872	Soft	Soft	Soft
Lepidosaurs	Pantherophis_guttatus	10	6.62010552	Soft	Soft	Soft
Lepidosaurs	Python_molurus	55	230	Soft	Soft	Soft
Lepidosaurs	Calloselasma_rhodostoma	6.3	10.32192	Soft	Soft	Soft
Lepidosaurs	Elgaria_multicarinata	9	1.024884	Soft	Soft	Soft
Lepidosaurs	Bronchocela_marmorata	9	2.944704929	Soft	Soft	Soft
Lepidosaurs	Cryptoblepharus_poecilopleurus	6.5	2.078363992	Soft	Soft	Soft
Lepidosaurs	Crotalus_viridis	3	2.502033408	Soft	Soft	Soft
Lepidosaurs	Masticophis_bilineatus	45	9.448017869	Soft	Soft	Soft
Lepidosaurs	Pituophis_catenifer	22.4	27.8208	Soft	Soft	Soft
Lepidosaurs	Phrynosoma_cornutum	6	0.63504	Soft	Soft	Soft
Lepidosaurs	Coluber_constrictor	5.6	5.55319296	Soft	Soft	Soft
Lepidosaurs	Iguana_iguana	18.1	19.42247776	Soft	Soft	Soft
Lepidosaurs	Tupinambis_teguixin	56.2	21.17660863	Soft	Soft	Soft
Lepidosaurs	Heterodon_platirhinos	13.1	7.003584	Soft	Soft	Soft
Lepidosaurs	Masticophis_flagellum	35.3	12.9024	Soft	Soft	Soft
Lepidosaurs	Aspidoscelis_sexlineatus	8.9	0.858505122	Soft	Soft	Soft
Lepidosaurs	Sceloporus_undulatus	5.4	0.37899848	Soft	Soft	Soft
Lepidosaurs	Bothrops_atrox	5.6	13.01416632	Soft	Soft	Soft
Lepidosaurs	Sceloporus_magister	6.4	0.84	Soft	Soft	Soft
Lepidosaurs	Kentropyx_altamazonica	15.7	1.267438234	Soft	Soft	Soft
Lepidosaurs	Micrurus_mipartitus	4.5	2.074469338	Soft	Soft	Soft
Lepidosaurs	Diadophis_punctatus	11	0.8757	Soft	Soft	Soft
Lepidosaurs	Eunectes_notaeus	40.9	69.85288645	Soft	Soft	Soft
Lepidosaurs	Naja_melanoleuca	20.5	26.82941184	Soft	Soft	Soft
Lepidosaurs	Urosaurus_ornatus	21.7	0.231868	Soft	Soft	Soft
Lepidosaurs	Uta_stansburiana	14.2	0.326536	Soft	Soft	Soft
Lepidosaurs	Sphenodon_punctatus	30	14.2884	Semi-rigid	Semi-rigid	Semi-rigid
Lepidosaurs	Eublepharis_macularius	9.304	3.31568496	Semi-rigid	Semi-rigid	Semi-rigid
Lepidosaurs	Chamaeleo_senegalensis	9	0.72576	Soft	Soft	Soft
